beneficiary_id,age,annual_income,family_size,land_holding_ac,scheme_amount,claims_per_year,distance_km,bank_txn_count,duplicate_aadhaar,ghost_beneficiary,is_fraud,scheme_type,state,scheme_type_enc,state_enc,income_per_member,claim_to_income,suspicious_score,anomaly_score,anomaly_label
6253,40,195659.44393154455,7,5.218339940097425,6631.967188517446,3,5.520980362176835,4,0,0,0,PMAY,Tamil Nadu,2,5,24457.43049144307,0.03389528846636862,0,1,0
4685,65,50000.0,5,2.6857341648688826,16770.99863140976,2,2.7360673832229425,2,0,0,0,Ration Card,UP,3,6,8333.333333333334,0.3354132643629079,0,1,0
1732,60,185663.913808715,7,0.4141643689687729,12768.674936836052,2,29.177544734839913,16,0,0,0,PM-KISAN,Rajasthan,1,4,23207.989226089376,0.0687726866369121,0,1,0
4743,74,168154.84934894153,3,3.9506450133303153,8290.14117030794,3,19.500247981998978,10,0,0,0,Ration Card,Bihar,3,0,42038.71233723538,0.0493003437133192,0,1,0
4522,34,245460.90656449445,5,2.731875795815184,12186.330217296143,1,1.5356196713760701,9,0,0,0,Scholarship,Tamil Nadu,4,5,40910.15109408241,0.0496465231117001,0,1,0
6341,36,202677.3385717665,3,2.545665874178246,14173.298826334769,2,2.7568549053047495,20,0,0,0,MGNREGS,Tamil Nadu,0,5,50669.33464294163,0.06993001287760278,0,1,0
577,38,219358.2878975785,2,2.00937995131078,10405.71935227682,3,11.893657694660634,22,0,0,0,Ration Card,MP,3,2,73119.42929919284,0.04743687605849348,0,1,0
5203,38,184310.91055232656,3,5.636447903304016,10860.101410966714,1,33.87921698551669,25,0,0,0,MGNREGS,MP,0,2,46077.72763808164,0.05892240701331945,0,1,0
6364,31,149915.0971854901,1,2.2235124002006366,9731.089430485867,1,40.18365604748859,24,0,0,0,PMAY,Tamil Nadu,2,5,74957.54859274505,0.06491023721385743,0,1,0
440,67,208917.4672348611,1,0.39360651466737046,11083.060065768588,2,41.40224332846755,19,0,0,0,PMAY,Bihar,2,0,104458.73361743055,0.05304969068775179,0,1,0
2751,27,148322.1069493117,4,0.33929194316141953,13532.11228661623,3,2.0182191944886188,4,0,0,0,Ration Card,Tamil Nadu,3,5,29664.421389862342,0.09123401312811445,0,1,0
7488,42,235790.37143834657,2,7.289952901871625,9738.625725660768,2,32.54853413443803,12,0,0,0,PMAY,MP,2,2,78596.79047944886,0.041301874900062534,0,1,0
5273,32,217868.6825570913,6,0.6315524763311348,12453.92000917429,3,12.774801056242259,19,0,0,0,MGNREGS,Bihar,0,0,31124.097508155897,0.05716224425080724,0,1,0
5654,69,183587.67637740952,3,0.8717000338422217,11551.23318532748,3,26.33220657178285,18,0,0,0,Scholarship,Gujarat,4,1,45896.91909435238,0.06291909399456215,0,1,0
4000,46,157871.50508867556,3,0.5209886482430469,12189.443547608433,3,11.932401586440381,2,0,0,0,Ration Card,UP,3,6,39467.87627216889,0.07721068048398759,0,1,0
